sample,x0: fuel to oxidizer ratio,x1: acac amount,x2: total concentration,x3: temperature,conductance - mean,conductance - std,XRF-normalized conductance - mean,XRF-normalized conductance - std,Conductivity - mean
130,1.379440179,0.420963353,0.008834437,213.5013123,0.004953475,0.007178512,4.06E-08,1.31E-08,5.611122939
131,0.331924184,0.640266523,0.010922764,224.8110352,0.003867811,0.016460628,1.85E-07,1.31E-07,25.5726067
132,0.327360247,0.652766729,0.008966852,206.2417297,0.002065548,0.008720369,1.18E-07,1.10E-07,16.3695938
133,0.998532232,0.62458604,0.006643857,251.3965759,0.111346591,0.107207463,5.81E-07,2.24E-07,80.27063907
134,1.219919459,0.281085402,0.01116344,210.8817444,0.005775679,0.010468411,4.49E-08,2.68E-08,6.212588987
135,1.072507278,0.481959836,0.007679301,262.3635864,0.040447066,0.052073588,4.16E-07,8.89E-08,57.51816726
136,1.208237517,0.642953899,0.006393622,262.9237061,0.09787976,0.117565467,6.00E-07,1.58E-07,82.96950471
137,0.314797715,0.063562564,0.007593067,259.380188,0.094199901,0.477327033,1.62E-07,1.66E-07,22.365352
138,0.471488443,0.556727798,0.006172694,245.8351898,0.109875039,0.330967257,2.90E-07,2.28E-07,40.03546104
139,1.670138903,0.674586271,0.009363185,213.9300842,0.013528765,0.021006051,1.19E-07,5.29E-08,16.4194131
140,0.285271364,0.006457098,0.011828792,238.7348633,0.026801915,0.059901376,1.95E-07,1.70E-07,26.89598414
141,1.488420662,0.42112756,0.009389331,274.6422424,0.042183886,0.040497664,2.04E-07,5.59E-08,28.19958341
142,0.780943739,0.670461719,0.010766899,249.6047974,0.199544733,1.27798476,3.17E-07,2.34E-07,43.80305576
143,1.813662948,0.910768361,0.010458892,264.7651672,0.078051462,0.470419861,7.22E-08,4.24E-08,9.975510988
144,0.252972712,0.119425163,0.00672826,245.6609497,0.083054581,0.102101364,3.62E-07,1.86E-07,50.03908341
145,1.169240244,0.409828766,0.009758697,219.5376129,0.043483551,0.033789556,1.42E-07,7.49E-08,19.6365708
