Cond,Qtsc,Qag,Qpva,Qseed,Qaa,y1,y2,y3,c1,c2
15,16.99538241,22.8319260978417,1.71030115654925,4.56765364532479,12.6847948892041,0.33417107415594,0.0139565546908779,0.809681098111467,-1.49994444508313,0
16,20.228989938144,23.4704972454252,18.0643679905872,2.66529896223343,11.7102585475053,0.400946823790025,0.0107884094110047,0.888945876573607,-1.70426806549248,-0.11782760938978
17,8.21099441458538,20.5977504400907,10.7768484237803,12.3347508952022,14.7004954276334,0.249765645072784,0.0173343918207685,0.486052046033243,-1.10116029024246,0
18,6.84813624319839,22.8712355375633,9.85573204931544,0.6,0.6,0,0.00641656901160406,0.975,-37.8187258959388,-36.1449597213487
19,3.77028283527359,23.9383109636139,8.26207047989549,20.2664958425369,20.754803148415,0,0.0418014565239777,0.15556267322763,-0.853386557917899,0
20,19.1319439395372,23.9217437508073,22.2009863035936,23.9879063394398,23.9880898389784,0,0.0351957302905689,0.000503902523340538,-0.697234207116264,0
21,5.31160203323995,23.0196116094176,10.7768484237803,2.74874591342161,4.75677742483612,0.539846961013407,0.0064905657392028,0.8854689202741,-4.53932914103306,-2.95873801552063
22,0.6,24,24,0.6,6.01650579731714,0,0.00565942090090216,0.975,-3.68902632333572,-2.01402632333572
23,0.6,23.0491708804534,0.6,15.5636142228006,17.3986906421006,0.288163268724128,0.030651986913308,0.351516074049975,-1.02476468227327,0
24,7.46443905633618,24,10.725164524087,0.6,5.66207535601003,0.84528980543401,0.00544598452049092,0.975,-3.93872846809167,-2.26372846809167
25,8.21099441458538,20.5612682837847,10.7768484237803,12.1282304273651,4.88534436725673,0.953465667880002,0.00731842552541813,0.494657065526455,-3.9087653884941,-2.79862347798412
26,0.820660887886491,22.901386349248,0.64514237476697,11.88549239,12.6698469097615,0.270870740111757,0.0192441247832704,0.504771150416667,-1.50755036050228,-0.326536076421185
27,11.6900237900292,20.4811355540271,7.61746079947443,23.4840663754528,24,0.2919416785514,0.0336165690467742,0.0214972343561324,-0.553380648084462,0
28,9.11630740425507,22.7489598772003,9.78494431079719,7.31714098821683,5.23505078148198,0.934760328416761,0.00733516789187857,0.695119125490966,-4.04550892183712,-2.66715619835943
29,23.72922747,23.9594823786722,2.05142486544232,16.4181382538195,18.2235471119993,0,0.0209760361607314,0.315910906090856,-1.01475405042831,-1.11022302462516e-16
30,0.6,24,6.61892123972856,24,24,0.239480892261868,0.0508885460449004,0,-0.7,0
31,0.6,23.946571314688,22.7425323950112,23.9962668531834,23.9963701991843,0.279910177615807,0.0418362705802966,0.000155547784024823,-0.697924732612352,0
32,0.6,24,0.6,23.9594551899009,23.9595235694505,0.235198991301122,0.0424867954603946,0.00168936708746192,-0.701689367087462,1.11022302462516e-16
33,7.67698748033147,19.445591,1.90936738,1.41932983177494,4.700088053,1,0.00765465567595899,0.940861257009377,-3.837282276571,-2.21027207830935
34,7.46443905633618,23.9951883951739,0.702246932265415,1.9129891847514,5.93983206829184,0.590016100810095,0.00800231972360106,0.920292117302025,-3.73970821385096,-2.11943207987137
35,10.7743444871901,24,21.1632614189821,24,24,0,0.0349100242486812,0,-0.7,0
36,0.6,20.1662757956388,8.978987114438,23.3876066135373,24,0.28187041491034,0.0387502843049692,0.0255163911026132,-0.540261491484949,2.22044604925031e-16
37,0.6,23.946571314688,22.2988340578365,23.974084327381,23.9741159743571,0.279370015919143,0.0450103731688379,0.00107981969246007,-0.698851066721352,-2.22044604925031e-16
38,0.759662630720209,23.946571314688,10.8856730894402,23.9993652385538,23.9994818881045,0.252433437074572,0.0448145339167036,2.64483935902282e-05,-0.697795345180233,0
39,0.6,24,10.9805295433384,23.9063152019938,23.9066794817398,0.248176237027888,0.0412277457844178,0.00390353325025838,-0.703903533250258,0
40,0.644437565056236,24,6.24369120970203,24,24,0.237361823479414,0.0416557153378059,0,-0.7,0
41,7.67698748033147,19.445591,20.2023291037307,22.4870086185553,23.0509029956363,0.289738563074143,0.0340761155306324,0.0630413075601973,-0.543593459383401,0
42,7.36813709941618,23.9150704655443,12.3712457053381,23.8555926346817,23.8557401916792,0,0.0369677935995218,0.00601697355492969,-0.702487043931075,1.11022302462516e-16
43,0.6,23.8823524819615,12.7368920857483,15.5636142228006,17.3986906421006,0.311181793483596,0.0307754545469124,0.351516074049975,-1.07265228592386,-0.0243307265027757
44,1.11765298281865,24,1.53785774424801,24,24,0.238583992410688,0.0431346794871153,0,-0.7,0
45,23.72922747,19.4462199384874,1.92373579806637,21.0596009015813,21.20556746,0.314973385068322,0.0242866966834438,0.122516629100781,-0.617033697644201,-2.22044604925031e-16
46,12.7770715368156,18.907932564837,22.1374135762344,22.8731817640763,23.9254158794205,0.276316778088759,0.0329733569157493,0.0469507598301543,-0.490286474439119,2.22044604925031e-16
47,3.77028283527359,23.9925810542829,8.29191749669367,20.2497053311646,20.754803148415,0.309962389944249,0.0329386899114042,0.156262277868142,-0.856001378703279,-1.11022302462516e-16
48,0.6,0.6,0.6,0.6,0.6,0,0.00392946045979227,0.975,-0.7,0
49,0.6,24,23.99956093,24,24,0.277279782887539,0.040795996086702,0,-0.7,0
50,0.600176407,19.90364849,2.233869819,23.28300788,23.97411597,0.261461826794667,0.0317664525392869,0.0298746716666667,-0.53021407399991,-1.73361325295218e-11
